,TOI,SECTOR,cosine,biweight,GP_kernel=squared_exp,P_orbit,SDE_biweight,SDE_cosine,SDE_GP_kernel=squared_exp
0,3353,2,1,1,1,[4.66577382 8.8175652 ],"[0.38090086745100693, -1.9941917544649552]","[1.466972891418603, 2.541184310019278]","[14.118171122485899, 13.759411807380065]"
1,1687,19,1,1,1,[10.25958174],[10.020791314824931],[47.24404724407087],[3.4504305544048646]
2,1063,39,1,1,1,[10.0665634],[14.612657191474563],[36.23991027239227],[3.039775901440308]
3,1146,41,1,1,1,[0.65957],[16.682573249781907],[17.281298568955737],[17.924140986784074]
4,1136,15,1,1,1,[12.51781     6.25674209 26.32186383 18.80475562],"[10.626956202162747, 6.006940088238881, nan, nan]","[9.547855525868288, 7.06361921718032, nan, nan]","[25.50558716560683, 25.656119572215232, nan, nan]"
5,523,6,1,1,1,[9.91102],[1.6262025040281607],[1.9881616666095518],[4.85513134903802]
6,779,36,1,1,1,[0.78390159],[15.95874823519813],[18.912913287651246],[19.721241122690785]
7,1860,41,1,1,1,[1.06621055],[3.91993440210275],[-0.12400876138272936],[-0.12724504105537915]
8,865,4,1,1,1,[0.74549825],[29.530603549501535],[1.8490755593335255],[0.3457839124203813]
9,1792,21,0,1,0,[8.81866],[8.84070457898976],[nan],[nan]
10,1028,36,1,1,1,[1.01606],[11.228165304690526],[15.107268712102487],[28.841353067091116]
11,2260,25,0,1,1,[0.35244372],[nan],[nan],[nan]
12,2279,25,0,1,0,[3.14336173],[13.86566284941021],[nan],[nan]
13,1252,15,1,1,1,[1.12194906],[24.99873624558743],[27.2325503004304],[27.787482149415123]
14,251,29,1,1,1,[4.93985034],[8.029105548756132],[20.187181234179217],[35.55622814857532]
15,1783,41,0,1,1,[1.41986589],[4.245852268523189],[nan],[-0.14128495616164866]
16,131,1,1,1,0,[6.240662],[25.010397351011814],[23.57544490550297],[nan]
17,1554,14,1,1,1,[9.43526],[19.49655332477277],[22.852590397975675],[36.33085268591238]
18,2123,25,1,1,1,[10.31618686],[6.502449171641398],[14.18781642327974],[21.553934469417946]
19,2076,16,1,1,1,[10.3557525  33.68969476],"[3.6091473353843595, nan]","[1.8696244544691398, nan]","[2.1088559943775222, nan]"
20,2069,40,1,1,1,[5.92125826],[-0.0808053089416476],[-0.1296223771803286],[5.215794779480764]
21,691,7,1,1,0,[6.905575],[12.761423475738745],[46.66904755831213],[nan]
22,2434,17,1,1,1,[1.38081377],[3.8032501928903772],[33.28592175939155],[29.635260135846742]
23,1445,20,0,1,0,[9.81327    4.78424844],"[2.897925222148896, 4.276948739681124]",[nan],[nan]
24,4381,39,1,1,1,[1.49742235],[25.090255482644334],[27.6350648272289],[27.89997275118812]
25,1030,36,1,1,1,[12.12369],[7.302066477764497],[3.2372174452189757],[15.979995240628547]
26,1135,14,1,1,0,[8.02772204],[19.375740344622546],[19.59901396700969],[nan]
27,1987,36,1,1,1,[2.58620878],[19.8150020487482],[19.695883057021195],[23.25305397640304]
28,179,30,1,1,1,[4.13743792],[21.865794245332438],[22.44344654671071],[26.052998126173822]
29,1059,13,1,1,1,[9.4496506],[26.625406273795807],[25.79123811006365],[29.919469176910393]
30,2311,28,1,1,1,[1.59337716],[16.543535105718814],[17.444126099197096],[19.07687869850045]
31,451,31,1,1,1,[16.36487304  1.85866242  9.19107915],"[nan, 5.011539866723422, 0.22415304818987106]","[nan, 11.245164313833506, 2.953512050248191]","[nan, 27.131151235412144, -0.05504467301636167]"
32,1097,38,1,1,1,[9.1885056],[11.46835791065307],[33.47442233173335],[4.460668382552069]
33,1555,21,1,1,1,[2.09989],[23.43470168268343],[23.050284465119187],[23.15411074545482]
34,2507,6,0,1,0,[17.30514757],[nan],[nan],[nan]
35,634,8,0,1,0,[0.49359],[nan],[nan],[nan]
36,710,1,1,1,1,[72.0819],[nan],[nan],[nan]
37,211,5,1,1,1,[6.56271655],[19.62122897487406],[22.143637641865176],[4.688403062452478]
38,1689,24,1,1,0,[9.12381012],[5.813590082966141],[19.83099104705705],[nan]
39,894,33,1,1,1,[4.3439549],[12.28286628676267],[12.464645959370605],[22.887809649920367]
40,4413,35,1,1,1,[4.4719451],[3.113864282325836],[-0.1113360117561963],[-0.10619597477999507]
41,1261,21,0,1,0,[18.05910483],[nan],[nan],[nan]
42,287,29,1,1,1,[3.781812],[17.866334275304084],[17.86948190822055],[21.807028771735816]
43,1807,23,1,1,1,[0.54934287],[33.738005454530324],[32.326225230441395],[nan]
44,252,28,0,1,0,[1.0021903],[2.407608259223256],[nan],[nan]
45,1327,41,1,1,1,[3.93958],[18.65540891224633],[18.10179621728414],[18.840966072121052]
46,4357,12,0,1,0,[1.81412152],[1.3808777802033405],[nan],[nan]
47,245,2,1,1,1,[8.77092124],[20.04446556464898],[29.2029518213693],[-0.06989406327650549]
48,852,30,1,1,0,[4.94664743],[10.4639600081132],[13.765330263208385],[nan]
49,831,38,1,1,1,[1.561734],[18.845793117963247],[18.954561468874658],[13.306687175488817]
50,2148,40,1,1,0,[23.48522],[nan],[nan],[nan]
51,2455,32,1,1,1,[4.72045706],[22.76904592710711],[21.051114113534922],[21.504405469844233]
52,740,10,1,1,0,[2.13120165],[12.086268618844255],[21.180733750662082],[nan]
53,1018,34,1,1,1,[4.95912],[20.367842431843687],[19.026036502737902],[23.233186034350062]
54,942,32,1,1,1,[4.32765],[7.96122325922178],[6.640568805785963],[7.300247820339258]
55,1647,40,1,1,0,[6.97378],[20.44531218755061],[20.004213012182294],[nan]
56,1986,36,1,1,1,[7.50438292],[1.369957420002289],[6.2762307211704],[23.97118564377491]
57,200,28,1,1,1,[8.13822],[5.033972321561089],[14.965374546153566],[-0.06787613252276621]
58,609,35,1,1,1,[4.96976453],[22.590961796725246],[2.061246542259448],[1.443812450921763]
59,1425,16,1,1,1,[1.03183357],[24.40400600106639],[25.119981146862013],[25.367952472903756]
60,1643,24,1,1,0,[20.07871279],[nan],[nan],[nan]
61,1990,36,1,1,1,[3.7899524],[11.632307424870087],[6.360627763330869],[13.00663359798114]
62,1417,16,1,1,1,[3.0726411],[14.81063692032313],[11.573265166599814],[11.157771391825852]
63,2253,16,0,1,0,[85.42447963],[nan],[nan],[nan]
64,455,31,1,1,1,[5.3587698],[38.43843168751251],[2.8978648805349634],[10.456500666453914]
